

============================== EXP at 2026-05-06 05:12:04 ==============================
dev | avg_loss: 3.11279296875 | {'exact_match': 0.0, 'rougeL': 7.097} | threshold: None


============================== EXP at 2026-05-06 05:21:17 ==============================
dev | avg_loss: 3.11279296875 | {'exact_match': 0.0, 'rougeL': 7.097} | threshold: None
train | epoch   0 | g_step:      1/  3570 | loss: 3.6116 | res: 3.2795 | span: 0.3321 | λ: 0.010 | lr: 1.0000e-04 | scale: 1.0 | t: 1.607
train | epoch   0 | g_step:      2/  3570 | loss: 3.6315 | res: 5.8624 | span: 0.2987 | λ: 0.020 | lr: 1.0000e-04 | scale: 1.0 | t: 1.363
train | epoch   0 | g_step:      3/  3570 | loss: 3.2038 | res: 6.8187 | span: 0.2756 | λ: 0.030 | lr: 1.0000e-04 | scale: 1.0 | t: 1.332
train | epoch   0 | g_step:      4/  3570 | loss: 3.5208 | res: 5.1154 | span: 0.2574 | λ: 0.040 | lr: 1.0000e-04 | scale: 1.0 | t: 1.375
train | epoch   0 | g_step:      5/  3570 | loss: 3.4528 | res: 4.7432 | span: 0.2361 | λ: 0.050 | lr: 1.0000e-04 | scale: 1.0 | t: 1.300
train | epoch   0 | g_step:      6/  3570 | loss: 3.3792 | res: 4.6158 | span: 0.2341 | λ: 0.060 | lr: 9.9999e-05 | scale: 1.0 | t: 1.312
train | epoch   0 | g_step:      7/  3570 | loss: 3.1020 | res: 3.8817 | span: 0.2233 | λ: 0.070 | lr: 9.9999e-05 | scale: 1.0 | t: 1.333
train | epoch   0 | g_step:      8/  3570 | loss: 3.4077 | res: 4.3012 | span: 0.2111 | λ: 0.080 | lr: 9.9999e-05 | scale: 1.0 | t: 1.342
train | epoch   0 | g_step:      9/  3570 | loss: 3.0867 | res: 3.6774 | span: 0.2086 | λ: 0.090 | lr: 9.9998e-05 | scale: 1.0 | t: 1.336
train | epoch   0 | g_step:     10/  3570 | loss: 3.2195 | res: 3.7871 | span: 0.1947 | λ: 0.100 | lr: 9.9998e-05 | scale: 1.0 | t: 1.338
train | epoch   0 | g_step:     11/  3570 | loss: 3.3329 | res: 3.9103 | span: 0.1705 | λ: 0.110 | lr: 9.9998e-05 | scale: 1.0 | t: 1.316
train | epoch   0 | g_step:     12/  3570 | loss: 3.1622 | res: 3.6251 | span: 0.1477 | λ: 0.120 | lr: 9.9997e-05 | scale: 1.0 | t: 1.313
train | epoch   0 | g_step:     13/  3570 | loss: 3.0333 | res: 3.5128 | span: 0.1296 | λ: 0.130 | lr: 9.9997e-05 | scale: 1.0 | t: 1.357
train | epoch   0 | g_step:     14/  3570 | loss: 3.2818 | res: 3.7192 | span: 0.1217 | λ: 0.140 | lr: 9.9996e-05 | scale: 1.0 | t: 1.318
train | epoch   0 | g_step:     15/  3570 | loss: 3.2332 | res: 3.6471 | span: 0.1086 | λ: 0.150 | lr: 9.9996e-05 | scale: 1.0 | t: 1.335
train | epoch   0 | g_step:     16/  3570 | loss: 3.3159 | res: 3.7803 | span: 0.1060 | λ: 0.160 | lr: 9.9995e-05 | scale: 1.0 | t: 1.350
train | epoch   0 | g_step:     17/  3570 | loss: 3.0450 | res: 3.5185 | span: 0.0978 | λ: 0.170 | lr: 9.9994e-05 | scale: 1.0 | t: 1.294
train | epoch   0 | g_step:     18/  3570 | loss: 3.4507 | res: 3.8496 | span: 0.0917 | λ: 0.180 | lr: 9.9994e-05 | scale: 1.0 | t: 1.336
train | epoch   0 | g_step:     19/  3570 | loss: 3.2665 | res: 3.7293 | span: 0.0913 | λ: 0.190 | lr: 9.9993e-05 | scale: 1.0 | t: 1.376
train | epoch   0 | g_step:     20/  3570 | loss: 3.1321 | res: 3.4983 | span: 0.0834 | λ: 0.200 | lr: 9.9992e-05 | scale: 1.0 | t: 1.266
train | epoch   0 | g_step:     21/  3570 | loss: 3.0452 | res: 3.3797 | span: 0.0820 | λ: 0.210 | lr: 9.9991e-05 | scale: 1.0 | t: 1.334
train | epoch   0 | g_step:     22/  3570 | loss: 3.0082 | res: 3.4514 | span: 0.0720 | λ: 0.220 | lr: 9.9991e-05 | scale: 1.0 | t: 1.336
train | epoch   0 | g_step:     23/  3570 | loss: 3.0959 | res: 3.5798 | span: 0.0748 | λ: 0.230 | lr: 9.9990e-05 | scale: 1.0 | t: 1.313
train | epoch   0 | g_step:     24/  3570 | loss: 2.9711 | res: 3.3614 | span: 0.0687 | λ: 0.240 | lr: 9.9989e-05 | scale: 1.0 | t: 1.330
train | epoch   0 | g_step:     25/  3570 | loss: 3.0348 | res: 3.3404 | span: 0.0711 | λ: 0.250 | lr: 9.9988e-05 | scale: 1.0 | t: 1.338
train | epoch   0 | g_step:     26/  3570 | loss: 3.0995 | res: 3.4596 | span: 0.0694 | λ: 0.260 | lr: 9.9987e-05 | scale: 1.0 | t: 1.322
train | epoch   0 | g_step:     27/  3570 | loss: 3.2666 | res: 3.6952 | span: 0.0680 | λ: 0.270 | lr: 9.9986e-05 | scale: 1.0 | t: 1.327
train | epoch   0 | g_step:     28/  3570 | loss: 3.0168 | res: 3.3276 | span: 0.0661 | λ: 0.280 | lr: 9.9985e-05 | scale: 1.0 | t: 1.345
train | epoch   0 | g_step:     29/  3570 | loss: 3.4378 | res: 3.8675 | span: 0.0622 | λ: 0.290 | lr: 9.9984e-05 | scale: 1.0 | t: 1.322
train | epoch   0 | g_step:     30/  3570 | loss: 3.2981 | res: 3.7694 | span: 0.0603 | λ: 0.300 | lr: 9.9983e-05 | scale: 1.0 | t: 1.316
train | epoch   0 | g_step:     31/  3570 | loss: 3.2448 | res: 3.6749 | span: 0.0572 | λ: 0.310 | lr: 9.9981e-05 | scale: 1.0 | t: 1.355
train | epoch   0 | g_step:     32/  3570 | loss: 3.3150 | res: 3.6927 | span: 0.0609 | λ: 0.320 | lr: 9.9980e-05 | scale: 1.0 | t: 1.321
train | epoch   0 | g_step:     33/  3570 | loss: 2.8518 | res: 3.1890 | span: 0.0563 | λ: 0.330 | lr: 9.9979e-05 | scale: 1.0 | t: 1.320
train | epoch   0 | g_step:     34/  3570 | loss: 3.2570 | res: 3.6084 | span: 0.0551 | λ: 0.340 | lr: 9.9978e-05 | scale: 1.0 | t: 1.353
train | epoch   0 | g_step:     35/  3570 | loss: 3.0424 | res: 3.3747 | span: 0.0520 | λ: 0.350 | lr: 9.9976e-05 | scale: 1.0 | t: 1.321
train | epoch   0 | g_step:     36/  3570 | loss: 3.3705 | res: 3.6283 | span: 0.0546 | λ: 0.360 | lr: 9.9975e-05 | scale: 1.0 | t: 1.314
train | epoch   0 | g_step:     37/  3570 | loss: 3.1342 | res: 3.4261 | span: 0.0555 | λ: 0.370 | lr: 9.9974e-05 | scale: 1.0 | t: 1.349
train | epoch   0 | g_step:     38/  3570 | loss: 3.4044 | res: 3.6995 | span: 0.0485 | λ: 0.380 | lr: 9.9972e-05 | scale: 1.0 | t: 1.318
train | epoch   0 | g_step:     39/  3570 | loss: 3.0946 | res: 3.3309 | span: 0.0485 | λ: 0.390 | lr: 9.9971e-05 | scale: 1.0 | t: 1.333
train | epoch   0 | g_step:     40/  3570 | loss: 2.8798 | res: 3.0786 | span: 0.0521 | λ: 0.400 | lr: 9.9969e-05 | scale: 1.0 | t: 1.323
train | epoch   0 | g_step:     41/  3570 | loss: 2.9794 | res: 3.1995 | span: 0.0511 | λ: 0.410 | lr: 9.9967e-05 | scale: 1.0 | t: 1.327
train | epoch   0 | g_step:     42/  3570 | loss: 3.0819 | res: 3.3051 | span: 0.0483 | λ: 0.420 | lr: 9.9966e-05 | scale: 1.0 | t: 1.313
train | epoch   0 | g_step:     43/  3570 | loss: 2.9339 | res: 3.1290 | span: 0.0505 | λ: 0.430 | lr: 9.9964e-05 | scale: 1.0 | t: 1.354
train | epoch   0 | g_step:     44/  3570 | loss: 2.9492 | res: 3.1400 | span: 0.0467 | λ: 0.440 | lr: 9.9963e-05 | scale: 1.0 | t: 1.316
train | epoch   0 | g_step:     45/  3570 | loss: 3.3468 | res: 3.5525 | span: 0.0437 | λ: 0.450 | lr: 9.9961e-05 | scale: 1.0 | t: 1.319
train | epoch   0 | g_step:     46/  3570 | loss: 2.9719 | res: 3.1558 | span: 0.0457 | λ: 0.460 | lr: 9.9959e-05 | scale: 1.0 | t: 1.348
train | epoch   0 | g_step:     47/  3570 | loss: 3.2588 | res: 3.5185 | span: 0.0486 | λ: 0.470 | lr: 9.9957e-05 | scale: 1.0 | t: 1.324
train | epoch   0 | g_step:     48/  3570 | loss: 3.2027 | res: 3.4260 | span: 0.0398 | λ: 0.480 | lr: 9.9955e-05 | scale: 1.0 | t: 1.408
train | epoch   0 | g_step:     49/  3570 | loss: 3.2811 | res: 3.4864 | span: 0.0447 | λ: 0.490 | lr: 9.9954e-05 | scale: 1.0 | t: 1.427
train | epoch   0 | g_step:     50/  3570 | loss: 3.5282 | res: 3.7512 | span: 0.0403 | λ: 0.500 | lr: 9.9952e-05 | scale: 1.0 | t: 1.280
train | epoch   0 | g_step:     51/  3570 | loss: 2.9739 | res: 3.1534 | span: 0.0425 | λ: 0.500 | lr: 9.9950e-05 | scale: 1.0 | t: 1.309
train | epoch   0 | g_step:     52/  3570 | loss: 3.3193 | res: 3.5070 | span: 0.0447 | λ: 0.500 | lr: 9.9948e-05 | scale: 1.0 | t: 1.437
train | epoch   0 | g_step:     53/  3570 | loss: 3.2520 | res: 3.4522 | span: 0.0418 | λ: 0.500 | lr: 9.9946e-05 | scale: 1.0 | t: 1.398
train | epoch   0 | g_step:     54/  3570 | loss: 3.1550 | res: 3.3364 | span: 0.0397 | λ: 0.500 | lr: 9.9944e-05 | scale: 1.0 | t: 1.282
train | epoch   0 | g_step:     55/  3570 | loss: 3.4612 | res: 3.6885 | span: 0.0418 | λ: 0.500 | lr: 9.9942e-05 | scale: 1.0 | t: 1.471
train | epoch   0 | g_step:     56/  3570 | loss: 3.0003 | res: 3.2100 | span: 0.0428 | λ: 0.500 | lr: 9.9939e-05 | scale: 1.0 | t: 1.418
train | epoch   0 | g_step:     57/  3570 | loss: 3.0269 | res: 3.2325 | span: 0.0427 | λ: 0.500 | lr: 9.9937e-05 | scale: 1.0 | t: 1.255
